level,levelName,vName,def_tech,ref,def_simple,comments
5,Physical objects,Aqueducts and viaducts,"Includes structures for carrying water across land, or a bridge that carries a railway or road over a valley. They are usually held up by many arches.",,,
5,Physical objects,Armed forces barracks,Includes buildings where military personnel live.,,,
5,Physical objects,Armed forces offices,Includes miltary reserves and military administration offices.,,,
5,Physical objects,Armed forces training grounds,Includes land owned by the government for training the military.,,,
5,Physical objects,Assisted living (health),"Includes care homes, nursing homes, supported housing for medical care, as well as medical rehabilitation services.",,,
5,Physical objects,Assisted living (social),Includes social housing for long-term homelessness or domestic violence support.,,,
5,Physical objects,ATMs,Includes machines for dispensing cash and other banking services.,,,
5,Physical objects,Attractions,"Includes arcades, bowling alleys, escape rooms, multiplexes, trampoline parks, motor sports, visitor centres etc.",,,
5,Physical objects,Auction houses,"Includes retailers who conduct auctions on furnishings, collectors' items, art and valuables, land and real estate, vehicles, etc.",,,
5,Physical objects,Automotive retail,"Includes auto dealers and retailers of auto accessories, motorcycles & parts, automotive glass and automotive equipment & parts. Excludes gas stations as this is included in 'Vehicle maintenance services' node.",,,
5,Physical objects,Bank headquarters,Includes offices of bank headquarters. ,,,
5,Physical objects,Banks,"Includes bank branches, building societites and credit unions.",,,
5,Physical objects,"Barriers, gates, and fences","Includes bollards, barriers, walls, height restrictions and any other type of barrier.",,,
5,Physical objects,Bars and nightclubs,"Includes bars, nightclubs, student unions, pool hall, caberet clubs etc.",,,
5,Physical objects,Beaches,"Includes beaches, ",,,
5,Physical objects,Beauty services,"Includes hairdressers, barbers, nail technicians, facial treatments, make up artists, tattooing and piercing studios.",,,
5,Physical objects,Bicycles,Includes the mode of transport itself.,,,
5,Physical objects,Bins,Includes public trash bins and recycling bins.,,,
5,Physical objects,Blood banks,Includes venues where the public can donate blood for medical purposes.,,,
5,Physical objects,Boats,Includes the mode of transport itself.,,,
5,Physical objects,Botanical gardens,Includes establishments where plants are grown for scientific study and display to the public.,,,
5,Physical objects,Bridges,"Includes structures carrying a road, path, railway, etc. across a river, road, or other obstacle.",,,
5,Physical objects,Broadband provider offices,"Includes organisations that provide services for accessing or using telecommunications, aimed at large-scale operations (e.g. customer service, IT support) and not customer-facing stores.",,,
5,Physical objects,Broadcasting,"Includes owners and operators of television or radio broadcasting systems, including programming. ",,,
5,Physical objects,Brownfield sites,"Includes previously developed land that is not currently in use, including railway land.",,,
5,Physical objects,Bus stations,Includes bus stations used for public transport with facilities for passengers. ,,,
5,Physical objects,Bus stops,"Includes designated bus stops for public transport, not necessarily with a dedicated shelter.",,,
5,Physical objects,Buses and trams,Includes the mode of transport itself.,,,
5,Physical objects,Business services,"Includes business support services such as print and copy shops, meeting and training spaces, chambers for business and commerce etc.",,,
5,Physical objects,Cafes,Includes cafes and coffee shops selling light refreshments.,,,
5,Physical objects,Camping grounds,"Includes official camp or carivan sites with access to sanitation facilities, water and electricity/gas.",,,
5,Physical objects,Canals,Includes artifical waterways.,,,
5,Physical objects,Career and employment support services,"Includes employment and recruitment agencies, job centres and career advice services. ",,,
5,Physical objects,Casinos and gaming," Includes companies providing lottery and betting services, bingo halls and casinos.",,,
5,Physical objects,Castles and fortifications,Includes historic castles and fortifications that are paid attractions not otherwise open to the public.,,,
5,Physical objects,Cemeteries,Includes large burial grounds.,,,
5,Physical objects,Charity organisations,"Includes non-profit organizations such as NGOs, salvation army, regeneration programmes etc.",,,
5,Physical objects,Charity shops,Includes retailers selling second-hand/donated goods for charity.,,,
5,Physical objects,Children's clubs,"Includes before and after school clubs, social clubs and youth organisations.",,,
5,Physical objects,Cinemas,Includes theatres where films are shown for public entertainment.,,,
5,Physical objects,Citizens Advice Bureaus,"Includes an independent charity where the public can obtain free, confidential information and advice on an extensive range of civil, consumer, and legal matters in the UK.",,,
5,Physical objects,Common green areas,"Includes publicly accessible greenspaces, such as commons and gardens, forests and woodland areas. Does not include official parks.",,,
5,Physical objects,Community centres,Includes multi-purpose buildings and town halls where people from the local community can meet for a wide range of events.,,,
5,Physical objects,Computer and electronics retail and services,"Includes retailers selling or repairing consumer electronics, computers, video and related products. ",,,
5,Physical objects,Conference and exhibition centres (animal racing),Includes large buildings designed to hold large animal racing or exhibition events.,,,
5,Physical objects,Conference and exhibition centres (general),"Includes large multi-purpose buildings such as sports stadiums and arenas, conference centres, exhibition centres, events venues and ice rinks etc.",,,
5,Physical objects,Construction and engineering,"Includes civil engineering companies, homebuilding, builders and large-scale contractors. ",,,
5,Physical objects,Consumer finance,"Includes personal credit, credit cards, lease financing, travel-related money services and pawnshops. ",,,
5,Physical objects,Council offices,Includes local government administrative buildings.,,,
5,Physical objects,Couriers,Includes companies that transfer commercial packages as well as sorting facilities with customer-facing pick-up points.,,,
5,Physical objects,Courthouses,Includes buildings in which a judicial court is held.,,,
5,Physical objects,Coworking office spaces,Includes office spaces for renting shared areas and facilities.,,,
5,Physical objects,Creative spaces,"Includes dance halls, art studios, cooking classes, recording studios, pottery studios, language schools, conservatoires etc.",,,
5,Physical objects,Crossings,"Includes any form of pedestrian, cycle, road and rail crossings.",,,
5,Physical objects,Day centres,Includes places providing care and recreational facilities for adults who cannot be fully independent.,,,
5,Physical objects,Death-care services,"Includes funeral directors, crematoriums, morgues, etc.",,,
5,Physical objects,Dental and orthodontal practices,"Includes any practice specialising in oral healthcare, including dental hospitals.",,,
5,Physical objects,Dining and catering services,Includes companies providing food catering as well as mobile catering services.,,,
5,Physical objects,Diplomatic buildings,Includes diplomatic and embassy buildings that are public-facing. ,,,
5,Physical objects,Distribution centres,"Includes warehouses, distribution centres, depots and sorting offices which do not have a customer-facing pickup point.",,,
5,Physical objects,Driving schools,Includes driving schools and test centres.,,,
5,Physical objects,Eateries,"Includes sit-in hospitality venues such as restaurants, pubs, and delicatessens. ",,,
5,Physical objects,Electricity provider offices,"Includes organisations that provide services for accessing or using electricity, that perform administrative activities but are not open to the public.",,,
5,Physical objects,Emergency vehicles,Includes the mode of transport itself.,,,
5,Physical objects,Environmental consulting and quantity surveying firms,Includes environmental consulting companies and surveying companies.,,,
5,Physical objects,Environmental regulators,Includes national environmental regulation companies and environmental managers.,,,
5,Physical objects,EV charging stations,Includes electric vehicle charging points.,,,
5,Physical objects,Events management,Includes companies that provide festival and events management as well as ticket sale offices.,,,
5,Physical objects,Exterior building trades,"Includes roofers, scaffolders, demolition companies and stonemason.",,,
5,Physical objects,Ferry terminals,Includes ferry public transport hubs.,,,
5,Physical objects,Financial advisors,"Includes professionals providing financial advice, financial services and investment management.",,,
5,Physical objects,Fire stations,Includes buildings for fire brigade personnel and equipment.,,,
5,Physical objects,Fishing clubs,"Includes fishing clubs with members building, usually with surronding green-blue permeable space and a fish farm.",,,
5,Physical objects,Food banks,Includes places that provide stocked food free of charge for people in need.,,,
5,Physical objects,Furnishing retail,"Includes furniture, housewares, major appliances, etc.",,,
5,Physical objects,Furnishing services,"Includes interior designers, upholstery, furniture repair, framers. ",,,
5,Physical objects,Gas pipelines,Includes pipes which transport gas.,,,
5,Physical objects,Gas provider offices,Includes organisations that provide services for accessing or using gas and perform administrative activities but are not open to the public.,,,
5,Physical objects,Gas storage tanks,Includes tanks which store gas.,,,
5,Physical objects,Gas terminals,Includes gas substations and terminals.,,,
5,Physical objects,Grasslands and meadows,"Includes grassland, meadows and shrub land. ",,,
5,Physical objects,Harbours,Includes industrial sites at ports.,,,
5,Physical objects,Healthcare (physiotherapy),"Includes podiatrists, physiotherapy, massage services, chiropractors etc.",,,
5,Physical objects,Healthcare (specialist),"Includes plastic and cosmetic surgery, dermatology, naturopathy, acupuncture, aromatherapy services and healthcare retailers.",,,
5,Physical objects,Healthcare (homecare),Includes homecare support and offices for homecare personnel.,,,
5,Physical objects,Helipads,Includes the mode of transport itself.,,,
5,Physical objects,Higher education,Includes universities and colleges.,,,
5,Physical objects,Historic points of interest,"Includes historic points of interest which are generally unmanned and open to the public such as historic lighthouses, memorials, ruins and archaeological sites, fortifications etc.",,,
5,Physical objects,Home and outdoor maintenance retail,Includes home and garden improvement retail stores as well as household and cleaning stores.,,,
5,Physical objects,Home and outdoor maintenance services,"Includes cleaning services, septic tank pumping services, gardeners, public park maintenance offices, pest control, tool equipment hire etc.",,,
5,Physical objects,Homeless shelters,Includes dorm-style shared temporary accommodation for homeless people.,,,
5,Physical objects,Hospitals ,"Includes hospitals, hospital administration offices, univerisity hospitals and outpatient services. Does not include dental hospitals.",,,
5,Physical objects,Hotels,"Includes self-catering accommodation, B&B, hotels with and without restaurants, and tourist hostels.",,,
5,Physical objects,ICT cables and wireless communication modes,"Includes radio, optical, sonic and electromagentic wireless communication modes.",,,
5,Physical objects,Independent or renewable power sources,"Includes intermittent renewables, electricity generators, geothermal energy, small and sustainable energy sources etc.",,,
5,Physical objects,Insurance provider offices,"Includes companies that provide insurance that are not customer-facing e.g. buildings insurance, content insurance, car insurance, health insurance etc. ",,,
5,Physical objects,Integrated waste facilities,Includes waste endpoint sites where waste is sorted with integrated facilities such as recycling activities and power generation activities.,,,
5,Physical objects,Interior building trades,"Includes trades such as joiners, painters, decorators, glaziers.",,,
5,Physical objects,Internet cafes,Includes cafes with computer rental facilities.,,,
5,Physical objects,IT software and services,"Includes data processing services, data centres, services and infrastructure for internet industry, and software development companies.",,,
5,Physical objects,Lakes and ponds,Includes bodies of water surronded by land.,,,
5,Physical objects,Landfills and endpoint waste sites,Includes places where collected waste is taken to get disposed.,,,
5,Physical objects,Learned societies,"Includes organisations that promote an academic discipline, profession, or a group of related disciplines.",,,
5,Physical objects,Legal services,"Includes lawyers, public prosecutors, legal aid, etc.",,,
5,Physical objects,Libraries and archives,Includes libraries and archives for public access.,,,
5,Physical objects,Lifeboat stations,Includes places where lifeboats are housed and rescue staff are based.,,,
5,Physical objects,Locksmiths and cobblers,"Includes trades such as key-cutting, shoe repair, shoe shiners etc.",,,
5,Physical objects,Lorries,Includes the mode of transport itself.,,,
5,Physical objects,Maintenance vehicles,"Includes the mode of transport itself, used to collect rubbish, grit roads etc.",,,
5,Physical objects,Manufacturing (consumer discretionary),"Includes manufacturers of automobiles and components, consumer durables and apparel.",,,
5,Physical objects,Manufacturing (consumer staples),"Includes manufacturers of non-durable household products, personal and beauty products, cigarettes & tobacco. Includes distilleries.",,,
5,Physical objects,Manufacturing (energy),Includes manufacturers of oil and gas equipment.,,,
5,Physical objects,Manufacturing (healthcare),Includes manufacturers of healthcare equipment and supplies,,,
5,Physical objects,Manufacturing (industrials),"Includes manufacturers of  aerospace and defence equipment, building components and equipment, power-generating equipment and other heavy electrical equipment, construction equipment, agricultural machinery, and industrial machinery.",,,
5,Physical objects,Manufacturing (IT hardware),"Includes manufacturers of communication equipment and products, phones, personal computers, servers, data storage components, electronic equipment, electronic components, semiconductor equipment and related products.",,,
5,Physical objects,Manufacturing (materials),"Includes manufacturers of paper and forest products, metals and mining.",,,
5,Physical objects,Marinas,Includes docks and boatyards for private storage and use.,,,
5,Physical objects,Medical laboratories,Includes laboratories which perform medical tests such as pathology tests.,,,
5,Physical objects,Medical practices,"Includes general medical practices, general practitioners, walk-in clinics and private healthcare clinics.",,,
5,Physical objects,Mental health services,Includes mental health practices and facilities (both public and private).,,,
5,Physical objects,Multi-line retail,Includes department stores and general merchandise stores.,,,
5,Physical objects,Museums and art galleries,"Includes museums, galleries and science centres for public viewing.",,,
5,Physical objects,Music and theatre venues,Includes venues for live musical and/or cultural performances.,,,
5,Physical objects,National government buildings,"Includes government buildings such as transport agencies, defence agencies, Standards agency, QUANGO etc.",,,
5,Physical objects,Nature reserves,"Includes land which is managed to preserve its flora, fauna and physical features.",,,
5,Physical objects,Nurseries,"Includes nurseries, kindergartens and young childcare facilities.",,,
5,Physical objects,Observatories,"Includes scientific centres with an astronomical telescope, which conduct research and are open periodically for public engagement.",,,
5,Physical objects,Offices (other),"Includes underspecified building and commerce, such as administrative offcies, business parks, and company offices.",,,
5,Physical objects,Off-licenses,Includes retailers that sell alcoholic drinks and tobacco stores.,,,
5,Physical objects,Opticians and ophthalmologists,Includes practices specialising in eye health care and vision.,,,
5,Physical objects,Other communal resources,Includes small community-driven areas where items can be exchanged for free e.g. mobile libraries.,,,
5,Physical objects,Other discretionary goods retail,"Includes jewellery stores, toy stores, office supply stores, arts and crafts, souvenir shops etc.",,,
5,Physical objects,Other discretionary services,"Includes spiritualists', and social activities such as escort services, dating services etc. Excludes car valet, pet grooming and tattooing and piercing studios.",,,
5,Physical objects,Other staple goods retail,Includes baby care and maternity shops. Does not include medical retailers or other staple goods retail covered in other physical objects e.g. supermarkets. DEFINE staple goods.,,,
5,Physical objects,Parking,Includes designated spaces for parking vehicles.,,,
5,Physical objects,Parks,Includes publicly accessible parks.,,,
5,Physical objects,Parliamentary buildings,"Includes parlimentary buildings, excludes general government buildings.",,,
5,Physical objects,Personal devices,"Includes mobile phones, laptops etc.",,,
5,Physical objects,Pharmacies,Includes pharmacies where medicines are prepared and sold/dispensed and basic health advice is offered.,,,
5,Physical objects,Piers and boardwalks,"Includes paths along a beach, or raised platforms from the shore out over water.",,,
5,Physical objects,Playgrounds (indoor),Includes indoor playgrounds and soft play facilities.,,,
5,Physical objects,Playgrounds (outdoor),Includes outdoor playgrounds and play parks.,,,
5,Physical objects,Police stations,"Includes buildings for police personnel and equipment, police stations, police offices and headquarters, traffic warden offices and transport police buildings.",,,
5,Physical objects,Political offices,"Includes buildings where councillors, politicians and political parties work and engage with the public.",,,
5,Physical objects,Post boxes,Includes places where mail/letters are deposited to be collected by the post service.,,,
5,Physical objects,Post offices,"Places where stamps are sold, letters and parcels can be posted and collected, and a range of other services (e.g. road taxes and money transfer services) are often provided.",,,
5,Physical objects,Potable water pipes,Includes pipes which transports potable water.,,,
5,Physical objects,Power lines,Includes underground cables and overhead lines carrying electrical power.,,,
5,Physical objects,"Power poles, towers, and converter stations","Includes infrastructure to support overhead power lines, converting and/or transferring electricity.",,,
5,Physical objects,Power stations,"Includes power plants, substations, and incinerators. ",,,
5,Physical objects,Prisons and jails,"Includes, prisons, jails and offenders institutes.",,,
5,Physical objects,Private motor vehicles,Includes the mode of transport itself.,,,
5,Physical objects,Public art,Includes outdoor public artwork and installations.,,,
5,Physical objects,Public drinking water points,Includes publicly accessible drinking points.,,,
5,Physical objects,Public information boards,"Includes public information boards, bike monitoring, transport timetables, clocks etc.",,,
5,Physical objects,Public telephones,Includes publicly accessible telephones and emergency telephone points.,,,
5,Physical objects,Public toilets,Includes publicly accessible toilets.,,,
5,Physical objects,Publishing offices,"Includes publishers of newspapers, magazines and books in print or electronic formats and bookbinding services.",,,
5,Physical objects,Rail signalling and switches,Includes switches and signalling systems for rail traffic management.,,,
5,Physical objects,Real estate management offices,"Includes real estate agents, brokers, appraisers, management, leasing and operation of residental or commercial properties.",,,
5,Physical objects,Recycling centres," Includes customer-facing recycling centres and industrial recycling sites, as well as scrap yard and materials recovery centres.",,,
5,Physical objects,Registrar offices,"Includes government offices where civil marriages are performed, and births, marriages, and deaths are recorded.",,,
5,Physical objects,Religious buildings,"Includes places of worship, missionaries, chaplaincies, convents and monasteries and religious administrative buildings.",,,
5,Physical objects,Removal services,Includes home or business removal services. ,,,
5,Physical objects,Research and consulting services,"Includes management consulting services, architectural design, research and development, marketing, and testing and certification services.",,,
5,Physical objects,Reservoirs,Includes large natural or artificial lakes used as a water supply.,,,
5,Physical objects,Residential gardens,Includes gardens attached to residential properties.,,,
5,Physical objects,Residential properties,"Includes both private, social and rented residential housing, student accommodation, ambassador residential housing, and house boats.",,,
5,Physical objects,Headquarters (other),"Includes onlines retailers, retail comany offcies and retail conglomerates. ",,,
5,Physical objects,Rivers and streams,Includes natural flows of water.,,,
5,Physical objects,Road traffic lights and signage,Includes traffic lights and signage for traffic management.,,,
5,Physical objects,Roads (major) and railways,"Includes primary and major roads, and all types of railway (historic, funicular, high speed and monorail).",,,
5,Physical objects,Roads (minor) and pathways,"Includes secondary roads, teriary roads, residential roads, pedestrain and cycle paths.",,,
5,Physical objects,Schools,Includes public and private primary and secondary schools.,,,
5,Physical objects,Seas and tidal range,Includes tidal ranges and coastlines.,,,
5,Physical objects,Security services,"Includes security and alarm services, armoured transportation and guarding services.",,,
5,Physical objects,Self-storage,Includes self-service parcel lockers and storage facilities.,,,
5,Physical objects,Sexual health clinics,Includes practices that specialise in sexual health and family planning.,,,
5,Physical objects,Shopping centres,"Includes shopping centres, shopping malls and retail parks.",,,
5,Physical objects,Smaller food markets,"Includes fishmongers, bakeries, butchers, convenience stores etc.",,,
5,Physical objects,Social work offices,Includes offices of people working in social work and children's centres.,,,
5,Physical objects,Sports and outdoor retail,"Includes retailers selling sport and outdoor goods such as bicycles, camping equipment, fitness equipment etc.",,,
5,Physical objects,Sports clubhouses,Includes buildings where members of a sports club/association meet and where equipment is held.,,,
5,Physical objects,Sports facilities (indoor),"Includes gyms, swimming pools, fitness and leisure centres, and indoor activity centres.",,,
5,Physical objects,"Sports facilities (outdoor, impermeable)",Includes outdoor sports facilities with solid grounds.,,,
5,Physical objects,"Sports facilities (outdoor, impermeable, with club)",Includes outdoor sports facilities with solid grounds with a sports clubhouse.,,,
5,Physical objects,"Sports facilities (outdoor, permeable)",Includes outdoor sports facilities with permeable grounds (e.g. golf sites).,,,
5,Physical objects,"Sports facilities (outdoor, permeable, with club)",Includes outdoor sports facilities with permeable grounds with a sports clubhouse.,,,
5,Physical objects,Springs and wells,Includes springs and wells to obtain water.,,,
5,Physical objects,Stables,Includes horse-riding stables and horse-riding centres.,,,
5,Physical objects,Stormwater basins,Includes artificial water detention and retention basins.,,,
5,Physical objects,Street lights,Includes lamposts and other forms of street lighting.,,,
5,Physical objects,Structural defences,"Includes dykes, dams, storm surge barriers etc.",,,
5,Physical objects,Subway stations,"Includes subway stops for public transport, normally including a small convenience shop.",,,
5,Physical objects,Subway trains,Includes the mode of transport itself.,,,
5,Physical objects,Supermarkets,Includes stores that sell food and a wide range of consumer staple and discretionary products.,,,
5,Physical objects,Surveillance cameras,"Includes closed circuit television (CCTV), traffic cameras, or other surveillance cameras. ",,,
5,Physical objects,Takeaways and fast food,Includes companies offering food collection or delivery services.,,,
5,Physical objects,Taxi ranks,Includes designated places where taxis pick up passengers.,,,
5,Physical objects,Taxis,Includes the mode of transport itself.,,,
5,Physical objects,Telecommunications towers,Includes telecommunication towers and relay stations.,,,
5,Physical objects,Telephone exchanges,Includes telecommunications exchanges used in the public switched telephone network or in large enterprises. ,,,
5,Physical objects,Toll booths and weighbridges,"Includes toll booths, transport check points and weighbridges. ",,,
5,Physical objects,Tourism offices,Includes tourist information offices and tourist boards.,,,
5,Physical objects,Town squares,Includes open public space in an urban area used for community gatherings.,,,
5,Physical objects,Traffic calming measures,"Includes speed bumps, speed tables, speed cameras and other traffic calming measures.",,,
5,Physical objects,Train stations (major),Includes terminal rail stations with passenger facilities.,,,
5,Physical objects,Train stations (minor),Includes designated train stops for passengers with fewer passenger facilities.,,,
5,Physical objects,Training centres,Includes occupational training centres and private tuition centres. Excludes arts training centres which is included in creative speaces.,,,
5,Physical objects,Trains,Includes the mode of transport itself.,,,
5,Physical objects,Tram stops,"Includes designated tram stops for public transport, usually with a dedicated shelter.",,,
5,Physical objects,Transport providers and control centres,"Includes logistics headquarters, traffic control centres (for all modes of transport), individual commercial operator offices (e.g. ScotRail or British Airways), and lighthouses.",,,
5,Physical objects,Travel agencies,Includes travel agency offices.,,,
5,Physical objects,Traveller sites,Includes residential areas for travellers.,,,
5,Physical objects,Tunnels,"Includes tunnels and passageways through buildings, mountains or underground.",,,
5,Physical objects,Union offices,Includes trade and labour offices.,,,
5,Physical objects,Utility trades,"Includes electrical, plumbing or heating installation/maintenance trades.",,,
5,Physical objects,Vehicle depots,"Includes councils depots, policesgarages, rail depots, yards and sidings, and other vehicle depots.",,,
5,Physical objects,Vehicle impounds,Includes holding places for vehicles that have been towed and waiting collection from the owner.,,,
5,Physical objects,Vehicle maintenance services,"Includes companies that repair or services vehicles, car washes and fuel stations.",,,
5,Physical objects,Vehicle rental services,Includes companies that rent out vehicles.,,,
5,Physical objects,Vehicle sharing points,Includes bike rental points and car sharing services.,,,
5,Physical objects,Veterinary practices,Includes veterinarian practices and veterinary colleges.,,,
5,Physical objects,Waste collection service offices,Includes buildings for waste collection personnel and adminisrative offices.,,,
5,Physical objects,Waste sorting centres,Includes buildings where waste is received and sorted before going to landfill or recycling.,,,
5,Physical objects,Wastewater pipes,Includes pipes which transport wastewater.,,,
5,Physical objects,Wastewater pumping stations,Includes wastewater pumping stations.,,,
5,Physical objects,Wastewater tanks,Includes wastewater tanks and sanitary dumps.,,,
5,Physical objects,Wastewater treatment works,Includes wastewater treatment works and facilities.,,,
5,Physical objects,Water provider offices,Includes national water and sewerage service companies.,,,
5,Physical objects,Water pumping stations,Includes water pumping stations.,,,
5,Physical objects,Water tanks and towers,Includes water storage towers and tanks.,,,
5,Physical objects,Water treatment works,Includes water treatment works and facilities.,,,
5,Physical objects,Wetlands,Includes wetlands and weland tidal flats.,,,
5,Physical objects,Wholesale retail,"Includes retailers selling industry bulk goods, wholesale goods and builders merchant.",,,
5,Physical objects,Wildlife,Includes all wild animals collectively.,,,
5,Physical objects,Zoos,"Includes zoological gardens for study, conservation, or display to the public.",,,
